"Name","SES","MaxVac","WVH","h","continent","Strat"
"Belgium","H",0.816700891087333,19.0277483407005,4.07786396658439,"Europe",1
"Belgium","L",0.667993527198224,19.1606897482339,3.97952305453853,"Europe",1
"Chile","H",1,16.7825572440478,1.08997164335534,"South America",2
"Chile","L",1,20.2161637899134,1.11068516226272,"South America",2
"France","H",0.802333517350305,21.5032532784361,3.71417186319811,"Europe",1
"France","L",0.782953874707121,21.5519357722872,3.2342765596562,"Europe",1
"Germany","H",0.85283432022061,18.8529492952632,3.12191831961914,"Europe",1
"Germany","L",0.771326428701307,18.9999298090912,3.3989316408024,"Europe",1
"Japan","H",0.800394373839684,14.2607903563639,3.20515194834463,"Asia",1
"Japan","L",0.767240255782072,13.5153380505686,2.97630363629654,"Asia",1
"Malaysia","H",0.965403577401509,19.9196546955398,5.50315923468254,"Asia",1
"Malaysia","L",0.717096955803438,21.2837924565731,4.97311094255071,"Asia",1
"UK","H",0.936137472339483,13.1618278976733,1.90185391803295,"Europe",2
"UK","L",0.817997109809081,13.7524982943872,1.81401227697353,"Europe",2
"United States, FL","H",0.921122520382676,14.9543816184245,1.57816844288159,"North America",2
"United States, FL","L",0.751627673535837,22.6570364108691,1.20267829994089,"North America",2
"United States, IA","H",0.723905992129769,9.91803693558011,1.95073949725205,"North America",2
"United States, IA","L",0.63310362959342,9.32927682041236,1.95449808941499,"North America",2
"United States, ID","H",0.799766111734136,12.8091272198375,1.52093641917954,"North America",2
"United States, ID","L",0.703759838583763,16.9248070290247,1.30966827582746,"North America",2
"United States, IL","H",0.82153803189867,12.4225504243794,2.40519070358523,"North America",2
"United States, IL","L",0.602479500596364,11.916173810929,1.59238499191307,"North America",2
"United States, KS","H",0.768660875656365,12.8214382764052,1.46269497364829,"North America",2
"United States, KS","L",0.616032254312573,11.0993019014941,1.44450318061806,"North America",2
"United States, LA","H",0.837609300389871,18.8765622901276,1.53658762133738,"North America",2
"United States, LA","L",0.903551422481311,30.2680684665863,1.14213155760547,"North America",2
"United States, MA","H",0.701687068233348,11.8955340342007,2.33140035636956,"North America",2
"United States, MA","L",0.844370612985348,12.9954816884688,1.82844511415807,"North America",2
"United States, MD","H",0.935666748642071,12.516865654905,2.53334590980955,"North America",1
"United States, MD","L",0.774078226531984,14.4501470362261,1.71124014743995,"North America",2
"United States, ME","H",0.91492712348032,12.0307984360416,2.38574141172203,"North America",2
"United States, ME","L",0.824035856540084,12.1837868545744,1.90340451615467,"North America",2
"United States, NC","H",1,17.6893727383143,1.34707209049337,"North America",2
"United States, NC","L",0.853941539604127,15.6471962000387,1.12287387031548,"North America",2
"United States, ND","H",0.560592971959894,13.0502292194557,1.24546705158451,"North America",2
"United States, ND","L",0.645914937181194,11.5803374021062,1.06970394904302,"North America",2
"United States, NJ","H",0.979621363395102,12.2522227720638,2.01867906799885,"North America",2
"United States, NJ","L",0.937421352765108,14.0766456751931,1.56474026403412,"North America",2
"United States, NV","H",0.603575126167058,14.0226675516298,1.28216412047058,"North America",2
"United States, NV","L",0.747830197869836,15.1784367837346,1.34848876882299,"North America",2
"United States, NY","H",0.944351387173356,14.1803069237096,2.12776723152148,"North America",2
"United States, NY","L",0.739808298886956,12.9971821753749,2.01030347711401,"North America",2
"United States, OR","H",0.864242662801795,13.0205849138295,1.9847821606138,"North America",2
"United States, OR","L",0.722028414733273,11.6660837159823,1.55094269748115,"North America",2
"United States, TN","H",0.81559748001634,18.2932069090901,1.50813376603143,"North America",2
"United States, TN","L",0.699651703523764,21.7824650014375,1.11750248085242,"North America",2
"United States, VT","H",0.796298617115383,12.0049967358105,2.71831209861815,"North America",1
"United States, VT","L",0.689568511755385,12.8040363835565,2.20429580715627,"North America",2
"United States, WA","H",0.851783741969911,12.9050647984631,2.12503143292942,"North America",2
"United States, WA","L",0.789541826985513,15.0666198118048,1.282275798917,"North America",2
"United States, WY","H",0.730490508910325,13.4784112698556,1.39276855310367,"North America",2
"United States, WY","L",0.584786091742039,10.9293539236736,1.2548395906813,"North America",2
"Republic of Korea","H",0.890028319547348,20.2544654355625,3.32179240575073,"Asia",1
"Republic of Korea","L",0.889636012735327,20.102577490892,3.17032720258331,"Asia",1
"United States, CA","H",0.949811604385953,11.6685900472028,2.20697653604383,"North America",2
"United States, CA","L",0.598625710036457,14.8743285981215,1.61625305289924,"North America",2
"United States, AZ","H",0.823803255383347,13.9950373293985,1.66046473381314,"North America",2
"United States, AZ","L",0.920864911877171,14.0426190492083,1.52690242135839,"North America",2
"United States, AR","H",0.949641231558433,26.7348302463002,1.08039119776478,"North America",2
"United States, AR","L",0.846571668449847,22.9403908921557,1.16639856855406,"North America",2
"United States, SC","H",0.94018326598043,20.2045782677492,1.23661106784196,"North America",2
"United States, SC","L",0.861302958620537,19.619958171327,1.32677045799766,"North America",2
"United States, WI","H",0.775217771388248,11.2460966654121,1.77556391667286,"North America",2
"United States, WI","L",0.755944354621672,10.6206618045814,1.58184671903511,"North America",2
"United States, MS","H",1,30.372552781912,0.996016909260461,"North America",2
"United States, MS","L",0.918583120553123,21.3948677899366,1.2803321521591,"North America",2
"United States, IN","H",0.753421345518178,13.9132693169125,1.6363726650501,"North America",2
"United States, IN","L",0.688602452558817,14.4193676181871,1.43384849978266,"North America",2
"United States, KY","H",0.751081403518487,11.6595683126406,1.65384927568806,"North America",2
"United States, KY","L",0.803531381652742,17.8210425667134,0.999969677062858,"North America",2
"United States, OK","H",1,28.3832443665393,0.908193605238646,"North America",2
"United States, OK","L",0.974709245121807,29.2985629565659,0.805186896159358,"North America",2
"United States, PA","H",0.87989191948413,12.5891315685412,2.42514437749935,"North America",2
"United States, PA","L",0.733491176405578,12.7869455005236,1.52423334722274,"North America",2
"United States, MT","H",0.695066483136854,11.7324325857429,1.38359787882664,"North America",2
"United States, MT","L",0.606280006604569,8.53746191019624,1.46345935072853,"North America",2
"United States, MN","H",0.750102433982292,11.0930803539263,1.94685496451602,"North America",2
"United States, MN","L",0.71006245812756,8.24308788350978,1.56840121644734,"North America",2
"United States, MO","H",0.694629671241288,14.1399475674738,1.62301094262669,"North America",2
"United States, MO","L",0.657456556572774,23.3720906592971,1.06319939224163,"North America",2
"United States, AK","H",0.816368431732458,9.33758739743995,1.71146273126561,"North America",2
"United States, AK","L",0.923687087839222,6.65180789531009,0.959014569222605,"North America",2
"Estonia","H",0.683832727432502,18.8679534152833,2.4918681913915,"Europe",2
"Estonia","L",0.639896284159655,19.3415489255737,2.33163335744813,"Europe",2
"Finland","H",0.83163740632058,20.3552679679101,3.06955157316634,"Europe",1
"Finland","L",0.824311115475607,20.5163208635682,3.36561191711118,"Europe",1
"Uruguay","H",0.854070985531171,7.9737966650698,1.63848541545292,"South America",2
"Uruguay","L",0.910083821550679,8.30195056063831,1.50689002210369,"South America",2
"Switzerland","H",0.678920318004314,21.8679630634823,2.98892044535612,"Europe",1
"Switzerland","L",0.745330971991371,21.8702067348291,3.3823608814714,"Europe",1
"Italy","H",0.857711933681121,21.6521158391295,2.96277217511224,"Europe",1
"Italy","L",0.861045080120794,22.0827252242267,3.34194842298793,"Europe",1
"Brazil, AC","H",0.880392175694771,24.8831806864135,2.3884423404347,"South America",2
"Brazil, AC","L",0.734326026585282,23.2183783607389,3.52338935414826,"South America",1
"Brazil, AL","H",0.892237218677226,25.5285286354825,2.42830856831623,"South America",2
"Brazil, AL","L",0.786142716140201,24.8929754139629,3.06124476318632,"South America",1
"Brazil, AM","H",0.680539159582507,29.6924653243733,1.85645914939098,"South America",2
"Brazil, AM","L",0.829349931445375,28.0153650596609,1.82044341077837,"South America",2
"Brazil, AP","H",0.701391183400723,25.3554366495483,3.68193934067895,"South America",1
"Brazil, AP","L",0.699227930081029,25.1303951902104,3.48975570604283,"South America",1
"Brazil, BA","H",0.992959460597607,25.4967557560579,2.42021764821176,"South America",2
"Brazil, BA","L",0.901406238646365,26.2410840701171,2.74552650585472,"South America",1
"Brazil, ES","H",0.972117200079884,22.9463257343344,3.02249885142448,"South America",1
"Brazil, ES","L",0.924416087506017,23.1949840350036,3.13132826311798,"South America",1
"Brazil, GO","H",1,21.3444098743357,2.64897109604509,"South America",1
"Brazil, GO","L",0.865364071743393,24.5372683679143,3.41031831646982,"South America",1
"Brazil, MA","H",0.80708288262427,26.747576099634,2.78281082170372,"South America",1
"Brazil, MA","L",0.727413277952137,24.004137274351,3.19438039887092,"South America",1
"Brazil, MS","H",0.934888239263064,21.1062475783692,3.0344991728782,"South America",1
"Brazil, MS","L",0.842377497277336,21.1655301034107,3.24959416814138,"South America",1
"Brazil, MT","H",0.923778383333702,24.164549269346,3.52712576303347,"South America",1
"Brazil, MT","L",0.818705839191214,25.1006491155283,3.70486885114212,"South America",1
"Brazil, PA","H",0.771245037843435,27.1567700888852,3.1811173855145,"South America",1
"Brazil, PA","L",0.796413055356141,26.1082261433889,3.52634235804978,"South America",1
"Brazil, PB","H",1,24.9370560944868,2.44600368864339,"South America",2
"Brazil, PB","L",0.951141002605643,24.8117434448425,2.80035012927305,"South America",1
"Brazil, PE","H",0.936920630732891,23.6766290158864,3.14164749200579,"South America",1
"Brazil, PE","L",0.921993976917816,26.8177514408754,3.24374949296902,"South America",1
"Brazil, PI","H",1,25.7498090381679,2.89535533704358,"South America",1
"Brazil, PI","L",0.988640740649978,28.5955376578679,2.89158440340646,"South America",1
"Brazil, PR","H",1,21.2496593779506,2.81359950207881,"South America",1
"Brazil, PR","L",0.933436882215657,23.7222076163614,3.14924862053025,"South America",1
"Brazil, RJ","H",0.985002467298344,23.0934236104965,2.84352230493253,"South America",1
"Brazil, RJ","L",0.877035793447931,25.5897773775806,2.74347634219779,"South America",1
"Brazil, RO","H",0.900373468912501,23.2704954431905,3.43368405983562,"South America",1
"Brazil, RO","L",0.796088585611964,24.5380490012709,3.71457833237642,"South America",1
"Brazil, RS","H",1,19.6845850278903,2.48593700547516,"South America",2
"Brazil, RS","L",0.934510793450121,22.5992220804616,2.68845100516431,"South America",1
"Brazil, SC","H",1,20.5146970677163,3.47349304034865,"South America",1
"Brazil, SC","L",0.968278666661825,25.2056293880138,3.28625744328817,"South America",1
"Brazil, SP","H",0.746217918310827,21.7698723230725,2.85026007772544,"South America",1
"Brazil, SP","L",0.641267227163484,23.7560181272643,3.67112873714515,"South America",1
"Brazil, TO","H",0.865719654658459,25.2366366347198,3.07463851969093,"South America",1
"Brazil, TO","L",0.777256917286645,24.7479898926825,3.65272436324685,"South America",1
"Kazakhstan","H",0.607625335637977,14.3807864442722,1.90742882726491,"Asia",2
"Kazakhstan","L",0.471111702442249,13.9407441384791,1.88643612422685,"Asia",2
"Czech Republic","H",0.695481884784763,20.1102053913533,3.58366067524092,"Europe",1
"Czech Republic","L",0.579597484590794,19.0622444999552,3.74468931365987,"Europe",1
"India","H",0.927943041516793,23.4177769981703,2.83287657580757,"Asia",1
"India","L",0.783293546759598,32.0594112027155,2.54132118219098,"Asia",1
"Norway","H",0.875086389604734,23.2687885519229,3.30318913695478,"Europe",1
"Norway","L",0.682714925284171,22.3193137779875,3.29488463568237,"Europe",1
"Denmark","H",0.824101469491376,19.8090073528033,3.79592934750115,"Europe",1
"Denmark","L",0.846993144346741,18.8879180201051,3.67605572970813,"Europe",1
"Sweden","H",0.823259806787848,22.4466914130944,3.45902187053814,"Europe",1
"Sweden","L",0.7978242333836,21.2849516348452,3.14977492708089,"Europe",1
"Spain","H",0.914625120161167,22.879024753432,2.60029232648625,"Europe",1
"Spain","L",0.837369612278047,22.5108591579721,2.98768672666503,"Europe",1
"Israel","H",0.892379389081607,4.63601375863686,0.815202001804207,"Asia",2
"Israel","L",0.650862588593615,10.6610359586861,1.04916523594714,"Asia",2
"Cape Verde","H",0.680040945516553,0.952469332131345,0.800748156592827,"Africa",2
"Cape Verde","L",0.553999772332746,2.00673906741982,1.02924267070508,"Africa",2
"Argentina","H",0.999641545125331,26.839495218816,2.74943690269307,"South America",1
"Argentina","L",1,27.50728849036,2.82472226599756,"South America",1
"Ecuador","H",1,24.4935002501909,3.05319100246723,"South America",1
"Ecuador","L",0.787231534337697,30.569057138705,3.86700639481782,"South America",1
"Brazil, SE","H",0.919743120278229,26.0633646095039,3.02012713728087,"South America",1
"Brazil, SE","L",0.865780381044747,25.4620885985906,3.38724885390432,"South America",1
"Peru","H",0.92531491564332,32.6421867151122,3.86318229103897,"South America",1
"Peru","L",0.804540411293873,35.0286185686662,3.78022541412401,"South America",1
